ThesName;KeyName_de;KeyName_en;AbsolutePath
ÖFOS;103023 Polymerphysik;103023 Polymer physics;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103024 Quantenfeldtheorie;103024 Quantum field theory;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103025 Quantenmechanik;103025 Quantum mechanics;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103026 Quantenoptik;103026 Quantum optics;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103027 Reaktorphysik;103027 Reactor physics;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103028 RelativitÖtstheorie;103028 Theory of relativity ;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103029 Statistische Physik;103029 Statistical physics;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103030 Strahlenphysik;103030 Radiation physics;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103031 Strahlenschutz;103031 Radiation protection;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103032 StrÖmungslehre;103032 Fluid mechanics;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103033 Supraleitung;103033 Superconductivity;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103034 Teilchenphysik;103034 Particle physics;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103035 Theoretische Mechanik;103035 Theoretical mechanics;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103036 Theoretische Physik;103036 Theoretical physics;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103037 Umweltphysik;103037 Environmental physics;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103038 Weltraumforschung;103038 Space exploration;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103039 Aerosolphysik;103039 Aerosol physics;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103040 Photonik;103040 Photonics;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103041 Astroteilchenphysik;103041 Astroparticle physics;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;103042 Elektronenmikroskopie;103042 Electron microscopy;1 - NATURWISSENSCHAFTEN/103 Physik, Astronomie/1030 Physik, Astronomie
ÖFOS;104 Chemie;104 Chemie;1 - NATURWISSENSCHAFTEN
ÖFOS;1040 Chemie;1040 Chemie;1 - NATURWISSENSCHAFTEN/104 Chemie
ÖFOS;104001 Allgemeine Chemie;104001 General chemistry;1 - NATURWISSENSCHAFTEN/104 Chemie/1040 Chemie
ÖFOS;104002 Analytische Chemie;104002 Analytical chemistry;1 - NATURWISSENSCHAFTEN/104 Chemie/1040 Chemie
ÖFOS;104003 Anorganische Chemie;104003 Inorganic chemistry;1 - NATURWISSENSCHAFTEN/104 Chemie/1040 Chemie
ÖFOS;104004 Chemische Biologie;104004 Chemical biology;1 - NATURWISSENSCHAFTEN/104 Chemie/1040 Chemie
ÖFOS;104005 Elektrochemie;104005 Electrochemistry;1 - NATURWISSENSCHAFTEN/104 Chemie/1040 Chemie
ÖFOS;104006 FestkÖrperchemie;104006 Solid state chemistry;1 - NATURWISSENSCHAFTEN/104 Chemie/1040 Chemie
ÖFOS;104007 Geschichte der Chemie;104007 History of chemistry;1 - NATURWISSENSCHAFTEN/104 Chemie/1040 Chemie
ÖFOS;104008 Katalyse;104008 Catalysis;1 - NATURWISSENSCHAFTEN/104 Chemie/1040 Chemie
ÖFOS;104009 Lebensmittelchemie;104009 Food chemistry;1 - NATURWISSENSCHAFTEN/104 Chemie/1040 Chemie
ÖFOS;104010 Makromolekulare Chemie;104010 Macromolecular chemistry;1 - NATURWISSENSCHAFTEN/104 Chemie/1040 Chemie
ÖFOS;104011 Materialchemie;104011 Materials chemistry;1 - NATURWISSENSCHAFTEN/104 Chemie/1040 Chemie
ÖFOS;104012 Mikroanalyse;104012 Microanalysis;1 - NATURWISSENSCHAFTEN/104 Chemie/1040 Chemie
ÖFOS;104013 Naturstoffchemie;104013 Natural product chemistry;1 - NATURWISSENSCHAFTEN/104 Chemie/1040 Chemie
ÖFOS;104014 OberflÖchenchemie;104014 Surface chemistry;1 - NATURWISSENSCHAFTEN/104 Chemie/1040 Chemie
ÖFOS;104015 Organische Chemie;104015 Organic chemistry;1 - NATURWISSENSCHAFTEN/104 Chemie/1040 Chemie
ÖFOS;104016 Photochemie;104016 Photochemistry;1 - NATURWISSENSCHAFTEN/104 Chemie/1040 Chemie
ÖFOS;104017 Physikalische Chemie;104017 Physical chemistry ;1 - NATURWISSENSCHAFTEN/104 Chemie/1040 Chemie
ÖFOS;104018 Polymerchemie;104018 Polymer chemistry;1 - NATURWISSENSCHAFTEN/104 Chemie/1040 Chemie
ÖFOS;104019 Polymerwissenschaften;104019 Polymer sciences;1 - NATURWISSENSCHAFTEN/104 Chemie/1040 Chemie
ÖFOS;104020 Radiochemie;104020 Radiochemistry;1 - NATURWISSENSCHAFTEN/104 Chemie/1040 Chemie
ÖFOS;104021 Strukturchemie;104021 Structural chemistry;1 - NATURWISSENSCHAFTEN/104 Chemie/1040 Chemie
ÖFOS;104022 Theoretische Chemie;104022 Theoretical chemistry;1 - NATURWISSENSCHAFTEN/104 Chemie/1040 Chemie
ÖFOS;104023 Umweltchemie;104023 Environmental chemistry ;1 - NATURWISSENSCHAFTEN/104 Chemie/1040 Chemie
ÖFOS;104024 RÖntgenstrukturanalyse;104024 X-ray structural analysis;1 - NATURWISSENSCHAFTEN/104 Chemie/1040 Chemie
ÖFOS;104025 Single-Molecule Chemistry;104025 Single-molecule chemistry;1 - NATURWISSENSCHAFTEN/104 Chemie/1040 Chemie
ÖFOS;104026 Spektroskopie;104026 Spectroscopy;1 - NATURWISSENSCHAFTEN/104 Chemie/1040 Chemie
ÖFOS;105 Geowissenschaften;105 Geowissenschaften;1 - NATURWISSENSCHAFTEN
ÖFOS;1051 Geologie, Mineralogie;1051 Geologie, Mineralogie;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften
ÖFOS;105101 Allgemeine Geologie;105101 General geology;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1051 Geologie, Mineralogie
ÖFOS;105102 Allgemeine Geophysik;105102 General geophysics;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1051 Geologie, Mineralogie
ÖFOS;105103 ErdÖlgeologie;105103 Petroleum geology;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1051 Geologie, Mineralogie
ÖFOS;105104 Erosion;105104 Erosion;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1051 Geologie, Mineralogie
ÖFOS;105105 Geochemie;105105 Geochemistry;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1051 Geologie, Mineralogie
ÖFOS;105106 Geodynamik;105106 Geodynamics;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1051 Geologie, Mineralogie
ÖFOS;105107 Geoelektrik;105107 Geoelectrics;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1051 Geologie, Mineralogie
ÖFOS;105108 Geostatistik;105108 Geostatistics;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1051 Geologie, Mineralogie
ÖFOS;105109 Geothermik;105109 Geothermics;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1051 Geologie, Mineralogie
ÖFOS;105110 Geschichte der Geologie;105110 History of geology;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1051 Geologie, Mineralogie
ÖFOS;105111 Gravimetrie;105111 Gravimetry;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1051 Geologie, Mineralogie
ÖFOS;105112 Historische Geologie;105112 Historical geology;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1051 Geologie, Mineralogie
ÖFOS;105113 Kristallographie;105113 Crystallography;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1051 Geologie, Mineralogie
ÖFOS;105114 Kulturgeologie;105114 Cultural geology;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1051 Geologie, Mineralogie
ÖFOS;105115 Magnetik;105115 Magnetics;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1051 Geologie, Mineralogie
ÖFOS;105116 Mineralogie;105116 Mineralogy;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1051 Geologie, Mineralogie
ÖFOS;105117 PalÖobotanik;105117 Palaeobotany;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1051 Geologie, Mineralogie
ÖFOS;105118 PalÖontologie;105118 Palaeontology;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1051 Geologie, Mineralogie
ÖFOS;105119 Petrographie;105119 Petrography;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1051 Geologie, Mineralogie
ÖFOS;105120 Petrologie;105120 Petrology;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1051 Geologie, Mineralogie
ÖFOS;105121 Sedimentologie;105121 Sedimentology;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1051 Geologie, Mineralogie
ÖFOS;105122 Seismik;105122 Seismic;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1051 Geologie, Mineralogie
ÖFOS;105123 Stratigraphie;105123 Stratigraphy;1 - NATURWISSENSCHAFTEN/105 Geowissenschaften/1051 Geologie, Mineralogie
